Latitude,Longitude,Kommune,Navn,Takster,Tilbudstyper,Pladser_på_tilbudstypen,Adresse,Kontaktperson,Pladser,Leder,Driftsherre,Virksomhedens_navn,Virksomhedsform,CVR,Tilsynsførende_myndighed,Årsomsætning,Soliditetsgrad,Overskud,Overskud_vs_omsætning,Løn_leder,Løn_personale,Løn_administration,Omkostninger_eksternt,Bestyrelseshonorarer,Løn_vs_omsætning,Omkostninger_til_kompetenceudvikling_vs_omsætning,Ejendomsomkostninger_vs_omsætning
55.240091,10.476411,Faaborg-Midtfyn Kommune,LINDEHUSET,Fra 2.049 - 2.649 kr.,"Botilbud til længerevarende ophold, § 108","12 - Botilbud til længerevarende ophold, § 108","Rolighedsvej 3
    

    5750 Ringe","Birgit Søgren Nielsen

                bisni@fmk.dk
                
                    Telefon: 72536875","Botilbud til længerevarende ophold, § 108
    
    
        
            12 pladser -
            ingen ledige","Birgit Søgren Nielsen
    

    bisni@fmk.dk
    
        Telefon: 72536875",Tilbuddet selv,Faaborg-Midtfyn Kommune,Primærkommune,29188645,"EAN-nummer
    
        5798006900862",,,,,,,,,,,,
55.649388,12.065241,Roskilde Kommune,"Område 45 + NAT (Botilbuddet Boserupvej, Center for specialiserede botilbud)",Fra 1.654 - 1.654 kr.,"Botilbud til længerevarende ophold, § 108","37 - Botilbud til længerevarende ophold, § 108","Boserupvej 7
    

    4000 Roskilde","Signe Olsen

                AH46@KK.dk
                
                    Telefon: 24650295","Botilbud til længerevarende ophold, § 108
    
    
        

            
                37 pladser -
                Kontakt afdelingen om ledige pladser","Signe Olsen
    

    AH46@KK.dk
    
        Telefon: 24650295",Tilbuddet selv,Københavns Kommune,Primærkommune,64942212,"EAN-nummer
    
        5798009680631","57.396.986,42 kr.",,"-3.863.104,5 kr.","-6,73 %","2.078.070,08 kr.","29.271.520,69 kr.",0 kr.,"4.563.138,89 kr.",0 kr.,"62,6 %","0,36 %","23,45 %"
55.983675,12.408535,Fredensborg Kommune,Blindecenter Bredegaard - botilbud (Blindecenter Bredegaard),"Fra 1.966,19 - 7.343,89 kr.","Botilbud til længerevarende ophold, § 108","41 - Botilbud til længerevarende ophold, § 108","Lindelyvej 5
    

    3480 Fredensborg","Frank Hedegaard

                bredegaard@regionh.dk
                
                    Telefon: 45118412","Botilbud til længerevarende ophold, § 108
    
    
        

            
                41 pladser -
                Kontakt afdelingen om ledige pladser","Frank Hedegaard
    

    bredegaard@regionh.dk
    
        Telefon: 45118412",Tilbuddet selv,Blindecenter Bredegaard,Øvrige virksomhedsformer,69269710,"EAN-nummer
    
        5798001157223",,,,,,,,,,,,
55.935753,12.496896,Fredensborg Kommune,1 psykiatrisk specialteam (Johannes Hages Hus),"Fra 2.616,82 - 3.407,69 kr.","Botilbud til længerevarende ophold, § 108","14 - Botilbud til længerevarende ophold, § 108","Johannes Hages Alle 3
    

    2990 Nivå","Anne Juelkert

                anju@johanneshageshus.dk
                
                    Telefon: 25444791","Botilbud til længerevarende ophold, § 108
    
    
        

            
                14 pladser -
                Kontakt afdelingen om ledige pladser
            
            
        
    

    
        
            Tilbudstypen omfatter skærmede pladser","Anne Juelkert
    

    anju@johanneshageshus.dk
    
        Telefon: 25444791",Tilbuddet selv,JOHANNES HAGES HUS,Øvrige virksomhedsformer,57048719,Socialtilsyn Hovedstaden,60.937.261 kr.,48 %,-2.835.400 kr.,"-4,65 %",1.041.302 kr.,38.498.889 kr.,2.275.735 kr.,378.841 kr.,195.000 kr.,"73,41 %","0,8 %","8,2 %"
55.422787,11.360437,Slagelse Kommune,Enhed for handicap - Rosenkildevej 85,Fra 368 - 1.174 kr.,"Botilbud til længerevarende ophold, § 108","19 - Botilbud til længerevarende ophold, § 108","Rosenkildevej 85
    

    4200 Slagelse","Signe Odsbøll

                signodsb@slagelse.dk
                
                    Telefon: 20188241","Botilbud til længerevarende ophold, § 108
    
    
        

            
                19 pladser -
                Kontakt afdelingen om ledige pladser","Signe Odsbøll
    

    signodsb@slagelse.dk
    
        Telefon: 20188241",Tilbuddet selv,Slagelse Kommune,Primærkommune,29188505,"EAN-nummer
    
        5798007389383",,,,,,,,,,,,
55.64884,12.257409,Høje-Taastrup Kommune,Hus 2 (Frøgård Alle 6),Fra 2.330 - 2.330 kr.,"Botilbud til længerevarende ophold, § 108","8 - Botilbud til længerevarende ophold, § 108","Frøgård Alle 6
    

    2630 Taastrup","Jette Remmer

                Jettere@htk.dk
                
                    Telefon: 51244523","Botilbud til længerevarende ophold, § 108
    
    
        
            8 pladser -
            ingen ledige","Mette Rie Olsen
    

    metteol@htk.dk
    
        Telefon: 30359272",Tilbuddet selv,Høje-Taastrup Kommune,Primærkommune,19501817,"EAN-nummer
    
        5798001592710",19.526.388 kr.,,-2.042.675 kr.,"-10,46 %",108.096 kr.,13.915.883 kr.,638.373 kr.,1.314.435 kr.,0 kr.,"88,24 %","0,9 %",11 %
55.360614,11.393806,Slagelse Kommune,Langebjerggaard ASF-Botilbud - Rosted (Langebjerggaard ASF-Botilbud),"Fra 16.086,51 - 16.086,51 kr.","Botilbud til længerevarende ophold, § 108","1 - Botilbud til længerevarende ophold, § 108","Søndermarken 11
    

    4200 Slagelse","Jesper William Svare

                jesper@langebjerggaard.dk
                
                    Telefon: 21641336","Botilbud til længerevarende ophold, § 108
    
    
        
            1 pladser -
            ingen ledige
        
    

    

    
        
            Særlige forhold

            Der findes 1 plads i stueetage, med eget værelse, toilet/bad og køkken samt stue/aktivitetsrum. Det er en betingelse for taksten, at borger er i beskæftigelse i tidsrummet 0830-15.00 i hverdagene. I taksten er planlagt 2 personale sammen med borger, af hensyn til personalets sikkerhed, og for at sikre et godt arbejdsmiljø omkring borger. Dette vil reducere konfliktniveaus, og være forebyggende i forhold til at undgå magtanvendelser ved voldsom udadreagerende adfærd.","Jesper William Svare
    

    jesper@langebjerggaard.dk
    
        Telefon: 21641336",Tilbuddet selv,LANGEBJERGGAARD APS,Anpartsselskab,38279009,Socialtilsyn Hovedstaden,16.528.268 kr.,"44,84 %",961.348 kr.,"5,82 %",464.652 kr.,10.673.946 kr.,588.086 kr.,566.086 kr.,18.000 kr.,"76,59 %","0,88 %","3,76 %"
55.877836,12.502861,Hørsholm Kommune,Solskin § 108 (Bofælleskaberne Solskin og Højmose Vænge),Fra 1.649 - 1.649 kr.,"Botilbud til længerevarende ophold, § 108","10 - Botilbud til længerevarende ophold, § 108","Gutfeldtsvej 6
    

    2970 Hørsholm","Dimitra Lundsgaard

                dil@horsholm.dk
                
                    Telefon: 20416187","Botilbud til længerevarende ophold, § 108
    
    
        
            10 pladser -
            ingen ledige","Dimitra Lundsgaard
    

    dil@horsholm.dk
    
        Telefon: 20416187",Tilbuddet selv,Hørsholm Kommune,Primærkommune,70960516,"EAN-nummer
    
        5798008382512",7.561.502 kr.,,-251.075 kr.,"-3,32 %",0 kr.,4.353.638 kr.,0 kr.,445.390 kr.,0 kr.,"73,51 %","1,94 %","13,39 %"
55.545589,11.717582,Holbæk Kommune,Møllevang (Granhøjen Midtsjælland),"Fra 2.654,03 - 2.654,03 kr.","Botilbud til længerevarende ophold, § 108","27 - Botilbud til længerevarende ophold, § 108","Ørnevej 50
    

    4370 Store Merløse","Eva Maria Albæk

                botilbud@grh.dk
                
                    Telefon: 59932301","Botilbud til længerevarende ophold, § 108
    
    
        

            
                27 pladser -
                Kontakt afdelingen om ledige pladser","Navnet er hemmeligt
    

    saf@granhojen.dk
    
        Telefon: 50609177",GRANHØJEN A/S,Granhøjen Midtsjælland ApS,Anpartsselskab,36497696,Socialtilsyn Hovedstaden,60.704.349 kr.,"20,16 %",-2.715.654 kr.,"-4,47 %",462.582 kr.,24.984.027 kr.,3.570.041 kr.,3.091.247 kr.,184.440 kr.,"58,42 %","3,06 %","16,26 %"
56.83938,8.590001,Thisted Kommune,HabitusHuset Skyumvej (HabitusHuset Sct. Mortensgaard),"Fra 21.205,51 - 21.205,51 kr.","Botilbud til længerevarende ophold, § 108","1 - Botilbud til længerevarende ophold, § 108","Skyumvej 111
    

    7752 Snedsted","Elizabeth Haizmann Bergstrøm

                ehb@habitus.dk
                
                    Telefon: 20610241","Botilbud til længerevarende ophold, § 108
    
    
        
            1 pladser -
            ingen ledige
        
    

    
        
            Tilbudstypen omfatter skærmede pladser
        
    

    
        
            Særlige forhold

            Pladsen er fleksibelt godkendt jf. §§107/108","Ruth Andreasen
    

    rbu@habitus.dk
    
        Telefon: 22220994",HabitusHusene Nordjylland ApS,Habitus Bo- og Dagtilbud ApS,Anpartsselskab,32082831,Socialtilsyn Hovedstaden,,,,,,,,,,,,
