Latitude,Longitude,Kommune,Navn,Takster,Tilbudstyper,Pladser_på_tilbudstypen,Adresse,Kontaktperson,Pladser,Leder,Driftsherre,Virksomhedens_navn,Virksomhedsform,CVR,Tilsynsførende_myndighed,Årsomsætning,Soliditetsgrad,Overskud,Overskud_vs_omsætning,Løn_leder,Løn_personale,Løn_administration,Omkostninger_eksternt,Bestyrelseshonorarer,Løn_vs_omsætning,Omkostninger_til_kompetenceudvikling_vs_omsætning,Ejendomsomkostninger_vs_omsætning
56.550093,9.023147,Skive Kommune,ACS Aktivitetstilbuddet Åhuset,"Fra 364,9 - 596,86 kr.","Aktivitets- og samværstilbud, § 104","18 - Aktivitets- og samværstilbud, § 104","Jægervej 16
    

    7800 Skive","Lene Lykke Pedersen

                llpe@skivekommune.dk
                
                    Telefon: 99157231","Aktivitets- og samværstilbud, § 104
    
    
        

            
                18 pladser -
                Kontakt afdelingen om ledige pladser
            
            
        
    

    
        
            Tilbudstypen omfatter skærmede pladser","Lene Lykke Pedersen
    

    llpe@skivekommune.dk
    
        Telefon: 99157231",Tilbuddet selv,Skive Kommune,Primærkommune,29189579,"EAN-nummer
    
        5798004092569",,,,,,,,,,,,
56.806212,8.869234,Morsø Kommune,Aktivitets- og Samværstilbud Fyrvejen 65,Fra 338 - 338 kr.,"Aktivitets- og samværstilbud, § 104","65 - Aktivitets- og samværstilbud, § 104","Fyrvejen 65
    

    7900 Nykøbing M","Nils Skovbakke

                nils.skovbakke@morsoe.dk
                
                    Telefon: 23694095","Aktivitets- og samværstilbud, § 104
    
    
        
            65 pladser -
            ingen ledige","Nils Skovbakke
    

    nils.skovbakke@morsoe.dk
    
        Telefon: 23694095",Tilbuddet selv,Morsø Kommune,Primærkommune,41333014,"EAN-nummer
    
        5798004039366",,,,,,,,,,,,
55.463495,12.180312,Køge Kommune,Blumesvej (AGERBÆKHUSE),Fra 728 - 728 kr.,"Aktivitets- og samværstilbud, § 104","56 - Aktivitets- og samværstilbud, § 104","Blumesvej 3
    

    4600 Køge","Berit Petersen

                agerbaekhuse@koege.dk
                
                    Telefon: 56662011","Aktivitets- og samværstilbud, § 104
    
    
        
            56 pladser -
            ingen ledige
        
    

    

    
        
            Særlige forhold

            12 af pladserne benyttes i Skovgruppen.","Berit Petersen
    

    agerbaekhuse@koege.dk
    
        Telefon: 56662011",Tilbuddet selv,Køge Kommune,Primærkommune,29189374,"EAN-nummer
    
        5798007766320",74.039.235 kr.,,-1.952.104 kr.,"-2,64 %",829.413 kr.,46.458.043 kr.,3.825.347 kr.,10.615.820 kr.,0 kr.,"88,08 %","1,11 %","3,66 %"
55.487277,9.471271,Kolding Kommune,CORTEX20 - Dagcenter for erhvervet hjerneskade,Fra 378 - 378 kr.,"Aktivitets- og samværstilbud, § 104","40 - Aktivitets- og samværstilbud, § 104","Bredgade 20
    

    6000 Kolding","Lissi Borre Larsen

                lbla@kolding.dk
                
                    Telefon: 79797094","Aktivitets- og samværstilbud, § 104
    
    
        
            40 pladser -
            ingen ledige","Lissi Borre Larsen
    

    lbla@kolding.dk
    
        Telefon: 79797094",Tilbuddet selv,Kolding Kommune,Primærkommune,29189897,Kolding Kommune,,,,,,,,,,,,
55.754685,8.912231,Billund Kommune,Cafeen,,"Aktivitets- og samværstilbud, § 104","95 - Aktivitets- og samværstilbud, § 104","Sydtoften 8
    

    7200 Grindsted","Anne-Mette Kjær

                amkj@billund.dk
                
                    Telefon: 72141948","Aktivitets- og samværstilbud, § 104
    
    
        
            95 pladser -
            ingen ledige","Anne-Mette Kjær
    

    amkj@billund.dk
    
        Telefon: 72141948",Tilbuddet selv,Billund Kommune,Primærkommune,29189765,Billund Kommune,,,,,,,,,,,,
55.755345,9.856369,Hedensted Kommune,Café Fønix,,"Aktivitets- og samværstilbud, § 104","35 - Aktivitets- og samværstilbud, § 104","Egevej 7C
    

    8783 Hornsyld",,"Aktivitets- og samværstilbud, § 104
    
    
        
            35 pladser -
            ingen ledige",,Tilbuddet selv,Hedensted Kommune,Primærkommune,29189587,Hedensted Kommune,,,,,,,,,,,,
55.476531,9.143114,Vejen Kommune,Dagcentret Kærhøj,Fra 543 - 543 kr.,"Aktivitets- og samværstilbud, § 104","28 - Aktivitets- og samværstilbud, § 104","Kærhøjparken 11
    

    6600 Vejen","Heinrich Schjøth-Kristensen

                heisc@vejen.dk
                
                    Telefon: 20446796","Aktivitets- og samværstilbud, § 104
    
    
        

            
                28 pladser -
                Kontakt afdelingen om ledige pladser","Heinrich Schjøth-Kristensen
    

    heisc@vejen.dk
    
        Telefon: 20446796",Tilbuddet selv,Vejen Kommune,Primærkommune,29189838,"EAN-nummer
    
        5798005406044",,,,,,,,,,,,
56.004949,12.237487,Gribskov Kommune,Dyreteam 2 (NorGro),"Fra 930,59 - 2.694,69 kr.","Aktivitets- og samværstilbud, § 104","2 - Aktivitets- og samværstilbud, § 104","Kildevej 3B
    

    3200 Helsinge","Monica Rosenville Larsen

                mr@norgro.dk
                
                    Telefon: 27510498","Aktivitets- og samværstilbud, § 104
    
    
        

            
                2 pladser -
                Kontakt afdelingen om ledige pladser
            
            
        
    

    
        
            Tilbudstypen omfatter skærmede pladser","Monica Rosenville Larsen
    

    mr@norgro.dk
    
        Telefon: 27510498",Tilbuddet selv,NorGro ApS,Anpartsselskab,43347160,Gribskov Kommune,,,,,,,,,,,,
55.63199,12.599915,Tårnby Kommune,GRO Tårnby,Fra 141 - 141 kr.,"Aktivitets- og samværstilbud, § 104","100 - Aktivitets- og samværstilbud, § 104","Sneserevej 10
    

    2770 Kastrup","Rikke Larsen

                rla.as@taarnby.dk
                
                    Telefon: 32471821","Aktivitets- og samværstilbud, § 104
    
    
        

            
                100 pladser -
                Kontakt afdelingen om ledige pladser","Rikke Larsen
    

    rla.as@taarnby.dk
    
        Telefon: 32471821",Tilbuddet selv,Tårnby Kommune,Primærkommune,20310413,"EAN-nummer
    
        5790000416530",,,,,,,,,,,,
54.783896,11.870615,Guldborgsund Kommune,Guldborgsund Handicap - Dagtilbud under serviceloven § 104,Fra 323 - 323 kr.,"Aktivitets- og samværstilbud, § 104","100 - Aktivitets- og samværstilbud, § 104","Københavnsvej 5
    

    4800 Nykøbing F","Kurt Lejbølle

                kle@guldborgsund.dk
                
                    Telefon: 25180228","Aktivitets- og samværstilbud, § 104
    
    
        

            
                100 pladser -
                Kontakt afdelingen om ledige pladser","Kurt Lejbølle
    

    kle@guldborgsund.dk
    
        Telefon: 25180228",Tilbuddet selv,Guldborgsund Kommune,Primærkommune,29188599,"EAN-nummer
    
        5798007151911",,,,,,,,,,,,
